אלמכ'תאר פי אלאמאנאת	(المختار في) الأمانات
גפרת לי קד אסתמלתני אלא	غفرت لي قد استملتني ألاّ
אעוד פאעציך , ואן לם	أعود فأعصيك , وإن لم
תגפר לי פקד איקנת נפסי	تغفر لي فقد أيقت نفسي
אלאיאס , וסבב ד'אך אן	الإياس , فسبّب ذاك أن
אמיל אלי טאעתך ועלי מא	أميل إلى طاعتك وعلى ما
קאל : H H H . ואלסאדס	قال : H H H . والسادس
וצף פעלה באלבניה אלאצליה	وصف فعله بالبنية الأصلية
, יט'ן בה אנה תלקין ואלהאם	, يظنّ به إنه تلقين وإلهام
כקולה : H H H H H H יריד	كقوله : H H H H H H يريد
בה אלכ'ליקה אלאצליה כקולה	به الخليقة الأصلية كقوله
: H H H H H H H H . ואלסאבע	: H H H H H H H H . والسابع
יבאלג בה אלקום , יתוהם	يبالغ به القول , يتوهّم
אלסאמע אנה תכ'ציץ כקולה	السامع أنه تخصيص كقوله
: H H H H H H ، H H H	: H H H H H H ، H H H
H H יט'ן ט'אן אן ללמלוך	H H يظن ظانّ أنَّ للملك
כ'אציה אן יוקע פי נפוסהם	خاصية أن يوقع في نفوسهم
מא ישא , ואנמא הד'ה מבאלגה	ما يشاء , وإنما هذه مبالغة
, יקול חתי אלמלך סביל	, يقول حتى المَلِك سبيل
קלבה אן יכון פי טאעהֿ	قلبه أن يكون في طاعة
אללה מת'ל אלמא ביד נפסה	الله مثل الماء بيد نفسه
כיף שא אלמלך מילה ואצרפה	كيف شاء المَلِك ميّله وأصرفه
. ואלת'אמן חדות' סבב	. والثامن حدوث سبب
יקע מע חדות'ה אכ'תיאר	يقع مع حدوثه اختيار
אלאנסאן לפעל מא , והו	الإنسان لفعل ما , وهو
עלי ת'לאת'ה צ'רוב אחדהא	على ثلاثة ضروب أحدها
כפאיהֿ אלאעדא פיתפרג	كفاية الأعداء فيتفرّغ
אלעבד בד'לך לפעל מן אלאפעאל	العبد بذلك لفعل من الأفعال
פיקאל אן אלכאפי לה אעדאה	فيقال إنَّ الكافي له أعداءه
סבב לה ד'לך עלי אלמג'אז	سبّب له ذلك على المجاز
, כקולה H : H : H H H	, كقوله H : H : H H H
H H ואיצ'א H : H ; H	H H وأيضًا H : H ; H
: H : H H H ואיצ'א H	: H : H H H وأيضًا H
: H : H H ואיצ'א H :	: H : H H وأيضًا H :
H : H H H H H H ואיצ'א	H : H H H H H H وأيضًا
H : H : H H H H ואיצ'א	H : H : H H H H وأيضًا
: H H H H H H H H H H	: H H H H H H H H H H
כל הד'ה בכפאיה אלעדו	كلّ هذه بكفاية العدوّ
ואלאד'י . ואלת'אני צפא	والأذى . والثاني صفاء
אלד'הן וכ'לאץ אלראי באעתדאל	الذهن وخلاص الرأي باعتدال
אלמזאג' חתי יפהם אלעבד	المزاج حتى يفهم العبد
באב אלדין ואלעלם סמע	باب الدين والعلم سمع
בהד'א פט'ן אנה ג'בר והו	بهذا فظنّ أنه جبر وهو
מא קאל H H H H H ואיצ'א	ما قال H H H H H وأيضًا
H H H H H , H H H H ואיצ'א	H H H H H , H H H H وأيضًا
H H H H H H ، H H : H	H H H H H H ، H H : H
: . ואלת'אלת' איה מעג'זה	: . والثالث آية معجزة
פעלהא אלכ'אלק פתכון סבבא	فعلها الخالق فتكون سببًا
לאימאן קום כת'ירין ,	لإيمان قوم كثيرين ,
פיסמעהא אלסאמע פיט'ן	فيسمعها السامع فيظنّ
אלקול ג'ברא כקול H :	القول جبرًا كقول H :
H H H H H H H H H H H	H H H H H H H H H H H
H H H H יעני אן הד'ה	H H H H يعني أنَّ هذه
אלנאר אד'א נזלת פאחרקת	النار إذا نزلت فأحرقت
אסתעטפת בהא אלקלוב אלתי	استعطفت بها القلوب التي
H פליס פי אלקול מצ'מר	H فليس في القول مضمر
אכת'ר מן חרף הא אן יקול	أكثر من حرف هاء أن نقول
H וכד'לך פי וקת אלד'י	H وكذلك في وقت الذي
קיל פיה H : H : H H H	قيل فيه H : H : H H H
H H H H ליס יריד בד'לך	H H H H ليس يريد بذلك
שיא סוי אט'האר איאת ובראהין	شيئًا سوى إظهار آيات وبراهين
. ובעד הד'ה אלת'מאניה	. وبعد هذه الثمانية
אצול לם יבק אלא מא אלוהם	أصول لم يبق إلاّ ما الوهم
פיה מן קבל נט'אם אלפסוק	فيه من قبل نظام الفسوق
, ד'לך כקולה : H H H	, ذلك كقوله : H H H
، H H ، H H H H חסב אלסאמע	، H H ، H H H H حسب السامع
אן הד'א אלתאיב יקול אנה	أنَّ هذا التائب يقول إنه
אנמא אכ'טא חתי יתם עליה	إنما أخطأ حتى يتمّ عليه
מא חכם בה רבה , וליס	ما حكم به ربّه , وليس
ירג'ע קולה H H H H ואנמא	يرجع قوله H H H H وإنما
ינעטף עלי קולה H H יקול	ينعطف على قوله H H يقول
אגפר לי ד'נבי חתי יצח	اغفر لي ذنبي حتى يصحّ
קולך אלד'י קלת ، וחכמת	قولك الذي قلت ، وحكمت
באן כל תאיב אליך יגפר	بأنَّ كلّ تائب إليك تغفر
לה והד'א מן אלמסתעמל	له وهذا من المستعمل
נט'יר קולה : H H H ،	نظير قوله : H H H ،
H H H , אלד'י לא ינעטף	H H H , الذي لا ينعطف
עלי H H H H ואנמא ירג'ע	على H H H H وإنما يرجع
H H H H . וענד הד'א אלאיצ'אח	H H H H . وعند هذا الإيضاح
תזול אלשבה אלמוהמה אלג'בר	تزول الشُبَه الموهِمة الجبر
, וחג'הֿ כ'אלקנא ת'אבתה	, وحجّة خالقنا ثابتة
עלי עבאדה פי טאעתה ומעציתה	على عباده في طاعته ومعصيته
לא חג'ה להם עליה ועלי	لا حجّة لهم عليه وعلى
מא קאל אלכתאב : H H H	ما قال الكتاب : H H H
. ועלי מא קאמת אלאיאת	. وعلى ما قامت الآيات
ואלמעג'זאת ואלרסאלה .	والمعجزات والرسالة .
כמלת אלמקאלה אלראבעה	كملت المقالة الرابعة
אלמקאלה אלכ'אמסה פי אלחסנאת	المقالة الخامسة في الحسنات
ואלסיאת ערפנא רבנא ג'ל	والسيِّآت عرَّفنا ربّنا جلَّ
ועז אן טאעאת אלעבאד לה	وعزَّ أنَّ طاعات العباد له
אד'א כת'רת סמית חסנאת	إذا كثرت سُمِّيت حسنات
ואן מעאציהם אד'א כת'רת	وأنَّ معاصيهم إذا كثرت
סמית סיאת ואן אלג'מיע	سُمِّيت سيِّآت وأنَّ الجميع
מחפוץ' ענדה עלי ג'מיע	محفوظ عنده على جميع
עבאדה כקולה H H H H H	عباده كقوله H H H H H
H H H H H H H H H H H	H H H H H H H H H H H
H וקאל איצ'א H H H H	H وقال أيضًا H H H H
H H H H . ואן תלך את'אר	H H H H . وإنَّ تلك آثار
תתאת'ר פי אלנפוס פתג'עלהא	تتأثّر في النفوس فتجعلها
צאפיה או דנסה , כקולה	صافية أو دنسة , كقوله
פי אלג'נאיאת : ، H :	في الجنايات : ، H :
H : H H H H H H H H H	H : H H H H H H H H H
H . ואן אלנאס ואן כ'פי	H . وإنَّ الناس وإنْ خفى
עליהם ד'לך ולם יתצ'ח	عليهم ذلك ولم يتّضح
להם פהו ואצ'ח ענדה תבארך	لهم فهو واضح عنده تبارك
ותעאלי כקולה H H H H	وتعالى كقوله H H H H
H H H H H H H פאתי עלי	H H H H H H H فأتى على
הד'ה אלמעאני באלאיאת	هذه المعاني بالآيات
ואלבראהין פקבלנאהא .	والبراهين فقبلناها .
פלמא חצל לנא ד'לך אכ'ד'ת	فلمّا حصل لنا ذلك أخذت
פי אלנט'ר פי הד'א אלמעני	في النظر في هذا المعنى
עלי מא קדמת , פראית פי	على ما قدّمتُ , فرأيتُ في
אלמוג'ודאת צנאיע דקיקה	الموجودات صنائع دقيقة
תכ'פי ען כת'יר מן אלנאס	تخفى عن كثير من الناس
פישבהון ג'ידהא ברדיהא	فيشبّهون جيّدها برديّها
, חתי יצאר בהא אלי חאד'ק	, حتى يُصار بها إلى حاذق
מנהם פימיז מא בינהמא	منهم فيميِّز ما بينهما
פמן ד'לך צנאעהֿ אלנקד	فمن ذلك صناعة النقد
, תרי אלעאמי אלד'י יבצרהא	, ترى العامّيّ الذي يبصرها
ישבה אלדינאר אלג'יד באלרדי	يشبّه الدينار الجيّد بالرّديء
חתי יפצלהמא אלנאקד .	حتّى يفصّلهما الناقد .
ומן ד'לך צנאעהֿ אלטב	ومن ذلك صناعة الطبّ
תג'ד אלעאמה ילמסון נבוץ'	تجد العامّة يلمسون نبوض
אלערוק פלא יעלמון מן	العروق فلا يعلمون من
אנבסאטהא ואנקבאצ'הא מא	انبساطها انقباضها ما
אלכיפיה אלגאלבה עלי אלג'סם	الكيفية الغالبة على الجسم
, ויעלמהא אלצאנע אלחאד'ק	, ويعلمها الصانع الحاذق
. ומן ד'לד עלום אלקאפה	. ومن ذلك علوم القافة
אלד'י ינט'רון פי תכ'אטיט	الذين ينظرون في تخاطيط
אלוג'וה ואלארג'ל פיפצלון	الوجوه والأرجل فيفصلون
בין אנסאן ואנסאן במא	بين إنسان وإنسان بما
יכ'פי עלי גירהם ממן ליס	يخفى على غيرهم ممّن ليس
תלך צנאעתה . וכד'לך פי	تلك ناعته . وكذاك في
צנאעהֿ אלג'והר מן יאקות	صناعة الجوهر من ياقوت
ולולו וגירהמא לא יתבינהא	ولؤلؤ وغيرهما لا يتبيّنها
אלא אלבציר ובאלג'מלה	إلاّ البصير وبالجملة
כל צנאעה דקיקה פכת'יר	كلّ صناعة دقيقة فكثير
מן עיובהא תכ'פי עלי אלעאמה	من عيوبها تخفى على العامّة
ותט'הר ללכ'אצה . פענד	وتظهر للخاصّة . فعند
וג'דאני הד'ה אלאמור אלצנאעיה	وجداني هذه الأمور الصناعية
עלי מא וצפת ، אזדדת תמסכא	على ما وصفتُ ، ازددتُ تمسّكًا
באן עיוב אלנפוס כאלד'נוב	بأنَّ عيوب النفوس كالذنوب
ואלאת'אם ואן לם תט'הר	والآثام وإن لم تظهر
ללנאס ، אד' חסהם לא ישער	للناس ، إذ حسّهم لا يشعر
בהא ، פהי תט'הר לצאנעהם	بها ، فهي تظهر لصانعهم
، אד' הו כ'לקהא ובראהא	، إذ هو خلقها وبرأها
וד'לך אן אלנפס ג'והר	وذلك أنَّ النفس جوهر
עקלי צאף אצפי מן ג'והר	عقلي صافٍ أصفى من جوهر
אלכואכב ואלאפלאך ונחן	الكواكب والأفلاك ونحن
ליס נראהא חסא פכיף נתבין	ليس نراها حسًّا فكيف نتبيَّنُ
מא יות'ר פי ג'והרהא פיכדרהא	ما يؤثّر في جوهرها فيكدرها
ואנמא יתבינה כ'אלקהא	وإنما يتبيّنه خالقها
וכ'אלק אלפלך ולד'לך יג'על	وخالق الفلك ولذلك يجعلُ
אלכתאב אלכואכב ואלסמא	الكتابُ الكواكبَ والسَّماءَ
מת'לין להא פי הד'א אלמעני	مثليْن لها في هذا المعنى
, אד' יקול : H H H H	, إذ يقول : H H H H
H H H H . וקאל אנה להא	H H H H . وقال إنه لها
נור כנור אלסראג' אלד'י	نور كنور السِّراج الذي
יפתש בה ג'מיע אלמכ'אבי	يفتّش به جميع المخابي
ואלכ'דור פיט'הר כל מא	والخدور فيظهر كلّ ما
הו מסתור פיהא , אד' קאל	هو مستور فيها , إذ قال
: H H H H H H H H . וקאל	: H H H H H H H H . وقال
איצ'א אנה להא כאלנאר	أيضًا إنه لها كالنار
אלתי תסבך אלד'הב ואלפצ'ה	التي تسبك الذهب والفضّة
פי אלכור ותצפיהמא כקולה	في الكور وتصفِّيهما كقوله
: H H H H H H H . פקלת	: H H H H H H H . فقلت
מא אעג'ב הד'א אן אלאנסאן	ما أعجب هذا أنَّ الإنسان
יאכל אכלין חלאלא וחראמא	يأكل أكليْن حلالاً وحرامًا
פיג'דהמא יגד'יאנה , ויגשי	فيجدهما يغذّيانه , ويغشى
גשיאנין אחדהמא חלאל ואלאכ'ר	غشيانيْن أحدهما حلال والآخر
חראם פיג'דהמא ילד'ד'אנה	حرام فيجدهما بلذّذانه
, פיחסבהמא שיא ואחדא	, فيحسبهما شيئًا واحدًا
, ואלנאקד ינתקד מא יות'ראן	, والناقد ينتقد ما يؤثّران
פי אלרוח עלי מא בינא	في الروح على ما بيَّنّا
